年度,チーム,,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率
2005,阪神タイガース,,藤川　球児,80,7,1,1,46,53,0,0,0,0.875,349,92,0.1,57,5,20,1,1,139,5,0,20,14,1.36
2005,阪神タイガース,*,前川　勝彦,2,0,0,0,0,0,0,0,0,0,19,3,0.2,3,0,5,0,0,2,0,0,1,1,2.45
2005,阪神タイガース,,牧野　塁,2,0,0,0,0,0,0,0,0,0,11,2,,2,2,3,0,0,2,0,0,2,2,9
2005,阪神タイガース,*,吉野　誠,12,0,0,0,1,1,0,0,0,0,40,10,,9,0,4,0,0,9,0,0,5,4,3.6
2005,広島東洋カープ,,天野　浩一,14,0,0,0,0,0,0,0,0,0,82,15,0.1,26,7,9,2,2,9,2,0,22,17,9.98
2005,広島東洋カープ,,梅津　智弘,33,1,1,0,5,6,0,0,0,0.5,136,32,,30,3,12,2,2,18,0,0,12,9,2.53
2005,広島東洋カープ,*,大島　崇行,7,2,2,0,0,0,0,0,0,0.5,130,27,,33,4,16,0,3,22,1,0,25,25,8.33
2005,広島東洋カープ,,大竹　寛,28,10,12,0,0,0,0,0,0,0.455,734,161,0.2,171,22,87,1,7,161,9,4,110,101,5.62
2005,広島東洋カープ,,小山田　保裕,18,6,11,0,0,0,4,2,1,0.353,514,115,0.2,130,17,33,1,9,86,0,0,67,60,4.67
2005,広島東洋カープ,,黒田　博樹,29,15,12,0,0,1,11,1,3,0.556,852,212,0.2,183,17,42,2,7,165,7,0,76,75,3.17
2005,広島東洋カープ,*,小島　紳二郎,2,0,0,0,0,0,0,0,0,0,37,8,,8,1,6,0,0,5,0,0,5,5,5.63
2005,広島東洋カープ,,小林　幹英,2,0,0,0,0,0,0,0,0,0,8,2,0.1,2,1,0,0,0,2,0,0,1,1,3.86
2005,広島東洋カープ,,佐々岡　真司,30,1,6,0,4,5,0,0,0,0.143,246,54,,75,14,19,0,0,37,2,0,44,38,6.33
2005,広島東洋カープ,*,佐竹　健太,50,0,1,0,8,8,0,0,0,0,179,36,0.1,51,6,21,0,1,30,1,0,28,24,5.94
2005,広島東洋カープ,,澤崎　俊和,2,0,0,0,0,0,0,0,0,0,5,1,0.1,1,0,0,0,0,1,0,0,0,0,0
2005,広島東洋カープ,*,高橋　建,14,0,2,0,0,0,0,0,0,0,133,26,0.2,43,7,9,1,1,14,1,0,28,28,9.45
2005,広島東洋カープ,,田中　敬人,14,1,0,0,0,1,0,0,0,1,63,13,,19,2,8,0,1,7,0,0,11,10,6.92
2005,広島東洋カープ,,玉山　健太,1,0,0,0,0,0,0,0,0,0,12,1,0.2,5,0,2,0,0,1,0,0,2,2,10.8
2005,広島東洋カープ,,デイビー,18,6,6,0,0,0,2,0,0,0.5,488,114,0.2,109,10,42,1,8,76,1,0,50,38,2.98
2005,広島東洋カープ,,永川　勝浩,57,3,5,2,14,17,0,0,0,0.375,311,69,,72,2,33,2,3,79,6,0,30,24,3.13
2005,広島東洋カープ,*,仁部　智,7,0,0,0,1,1,0,0,0,0,20,3,0.1,6,0,4,0,0,2,0,0,4,4,10.8
2005,広島東洋カープ,,長谷川　昌幸,23,2,10,0,1,2,0,0,0,0.167,403,86,,98,16,49,3,2,73,9,0,67,62,6.49
2005,広島東洋カープ,,林　昌樹,5,0,0,0,0,0,0,0,0,0,17,3,0.2,7,0,1,0,0,2,0,0,3,3,7.36
2005,広島東洋カープ,*,広池　浩司,41,0,1,0,9,9,0,0,0,0,223,41,0.1,69,9,26,0,2,33,3,0,52,37,8.06
2005,広島東洋カープ,,フェリシアーノ,5,0,2,0,0,0,0,0,0,0,60,11,0.2,17,1,9,0,0,11,2,0,12,9,6.94
2005,広島東洋カープ,*,ベイル,51,2,1,24,0,2,0,0,0,0.667,227,53,0.2,44,9,16,0,5,72,1,0,24,19,3.19
2005,広島東洋カープ,,森　跳二,15,0,2,0,1,1,0,0,0,0,98,21,0.1,24,3,9,0,1,18,3,0,16,13,5.48
2005,広島東洋カープ,,横山　竜士,29,1,1,0,6,7,0,0,0,0.5,153,37,,27,1,12,1,1,28,0,1,9,9,2.19
2005,広島東洋カープ,,レイボーン,11,3,5,0,0,0,1,1,0,0.375,295,64,,64,7,38,1,4,41,5,0,42,36,5.06
2005,広島東洋カープ,,ロマノ,27,5,4,1,0,2,0,0,0,0.556,320,73,0.1,65,12,36,1,1,48,4,4,39,37,4.54
2005,中日ドラゴンズ,,朝倉　健太,16,5,7,0,0,0,2,0,0,0.417,439,98,0.1,123,4,40,1,2,65,4,0,49,43,3.94
2005,中日ドラゴンズ,*,石井　裕也,24,3,1,0,5,7,0,0,0,0.75,163,32,0.1,49,3,18,1,1,27,2,0,22,21,5.85
2005,中日ドラゴンズ,,石川　賢,2,0,0,0,0,0,0,0,0,0,7,1,0.1,3,1,0,0,0,1,0,0,2,2,13.5
2005,中日ドラゴンズ,*,岩瀬　仁紀,60,1,2,46,2,3,0,0,0,0.333,229,57,0.1,51,0,8,2,2,52,1,0,12,12,1.88
2005,中日ドラゴンズ,,遠藤　政隆,13,2,1,0,0,2,0,0,0,0.667,63,14,0.2,12,1,7,1,1,15,2,0,12,12,7.36
2005,中日ドラゴンズ,*,小笠原　孝,5,0,3,0,0,0,0,0,0,0,78,16,,27,4,3,0,2,12,1,0,13,13,7.31
2005,中日ドラゴンズ,,岡本　真也,57,10,3,1,17,27,0,0,0,0.769,272,63,,60,4,30,2,2,65,3,0,22,22,3.14
2005,中日ドラゴンズ,,落合　英二,31,2,1,0,8,9,0,0,0,0.667,210,47,0.2,64,6,10,0,1,27,0,0,26,25,4.72
2005,中日ドラゴンズ,*,川井　進,4,0,1,0,0,0,0,0,0,0,47,11,,11,2,3,0,0,8,0,0,7,5,4.09
2005,中日ドラゴンズ,,川上　憲伸,25,11,8,0,0,0,3,2,2,0.579,738,180,0.1,186,20,28,4,4,138,1,0,75,75,3.74
2005,中日ドラゴンズ,,川岸　強,23,1,1,0,4,5,0,0,0,0.5,118,28,0.2,26,5,7,0,3,26,2,0,11,11,3.45
2005,中日ドラゴンズ,*,小林　正人,4,0,0,0,0,0,0,0,0,0,21,4,0.2,5,1,1,0,1,6,0,0,4,4,7.71
2005,中日ドラゴンズ,,金剛　弘樹,9,0,0,0,0,0,0,0,0,0,53,11,,14,4,7,0,1,6,2,0,11,11,9
2005,中日ドラゴンズ,,佐藤　充,3,1,1,0,0,0,0,0,0,0.5,71,16,,17,2,6,1,0,11,1,0,10,10,5.63
2005,中日ドラゴンズ,,鈴木　義広,47,5,3,0,3,7,0,0,0,0.625,295,68,0.1,62,5,28,4,3,46,1,1,30,27,3.56
2005,中日ドラゴンズ,*,高橋　聡文,61,2,1,0,13,15,0,0,0,0.667,214,44,0.1,55,4,20,1,5,56,3,0,27,23,4.67
2005,中日ドラゴンズ,*,チェン,10,0,0,1,1,1,0,0,0,0,92,19,0.1,29,3,6,0,0,20,2,0,17,13,6.05
2005,中日ドラゴンズ,,ドミンゴ,3,1,2,0,0,0,0,0,0,0.333,60,13,,12,2,9,0,1,16,1,1,7,7,4.85
2005,中日ドラゴンズ,,中里　篤史,2,1,1,0,0,1,0,0,0,0.5,18,4,,3,1,2,0,0,3,0,0,2,2,4.5
2005,中日ドラゴンズ,,中田　賢一,15,8,3,0,0,0,0,0,0,0.727,371,86,0.2,81,7,30,2,6,60,2,1,36,35,3.63
2005,中日ドラゴンズ,*,野口　茂樹,13,3,6,0,0,0,1,1,0,0.333,300,72,,71,8,26,1,4,57,3,0,33,32,4
2005,中日ドラゴンズ,*,久本　祐一,18,1,0,0,1,2,0,0,0,1,104,22,,28,3,14,0,1,18,1,0,15,15,6.14
2005,中日ドラゴンズ,,平井　正史,55,4,4,1,16,20,0,0,0,0.5,231,54,,51,6,16,4,3,46,2,0,24,23,3.83
2005,中日ドラゴンズ,*,マルティネス,18,8,4,0,0,0,0,0,0,0.667,455,109,0.1,109,12,28,0,4,88,4,2,45,41,3.38
2005,中日ドラゴンズ,,山井　大介,27,3,5,1,2,3,0,0,0,0.375,440,106,0.2,102,14,31,0,5,90,3,1,53,49,4.13
2005,中日ドラゴンズ,*,山本昌,22,7,8,0,0,0,0,0,0,0.467,513,116,,137,12,31,2,8,69,2,0,63,63,4.89
2005,東京ヤクルトスワローズ,,五十嵐　亮太,49,3,2,4,11,14,0,0,0,0.6,246,56,0.2,52,6,27,2,1,60,6,0,24,22,3.49
2005,東京ヤクルトスワローズ,*,石井　弘寿,61,4,3,37,10,14,0,0,0,0.571,286,73,0.2,51,6,15,2,2,91,0,0,16,16,1.95
2005,東京ヤクルトスワローズ,*,石川　雅規,26,10,8,0,0,0,0,0,0,0.556,637,149,0.2,180,18,24,1,4,105,7,0,82,81,4.87
2005,東京ヤクルトスワローズ,,石堂　克利,5,1,2,0,0,0,0,0,0,0.333,95,21,0.1,26,6,8,0,0,13,0,0,16,16,6.75
2005,東京ヤクルトスワローズ,,上原　厚治郎,3,0,0,0,0,0,0,0,0,0,8,2,0.1,1,0,1,0,0,2,1,0,0,0,0
2005,東京ヤクルトスワローズ,,宇野　雅美,6,0,0,0,0,0,0,0,0,0,19,5,,4,1,0,0,1,2,0,0,2,2,3.6
2005,東京ヤクルトスワローズ,,ガトームソン,16,8,5,0,0,0,0,0,0,0.615,418,97,,102,9,30,3,3,62,0,1,46,45,4.18
2005,東京ヤクルトスワローズ,,川島　亮,20,9,10,0,0,0,1,1,0,0.474,516,128,0.1,120,13,35,0,2,78,4,0,41,40,2.81
2005,東京ヤクルトスワローズ,,河端　龍,34,2,5,0,6,7,0,0,0,0.286,191,44,0.1,49,4,11,1,1,36,0,0,20,17,3.45
2005,東京ヤクルトスワローズ,,ゴンザレス,27,4,6,0,6,6,0,0,0,0.4,355,81,0.2,101,11,14,0,6,44,5,1,49,46,5.07
2005,東京ヤクルトスワローズ,,坂元　弥太郎,5,1,2,0,0,1,0,0,0,0.333,46,10,,14,2,3,0,1,7,1,0,10,10,9
2005,東京ヤクルトスワローズ,*,佐藤　賢,32,0,0,0,4,4,0,0,0,0,108,25,0.2,25,1,9,0,1,27,0,0,9,9,3.16
2005,東京ヤクルトスワローズ,,杉本　友,1,0,0,0,0,0,0,0,0,0,7,1,,4,1,0,0,0,2,0,0,3,3,27
2005,東京ヤクルトスワローズ,*,高井　雄平,18,4,4,0,0,0,1,0,0,0.5,330,73,0.2,70,7,42,1,2,74,8,0,37,37,4.52
2005,東京ヤクルトスワローズ,,館山　昌平,25,10,6,0,0,0,1,1,1,0.625,622,150,0.1,151,14,28,4,4,105,1,0,70,66,3.95
2005,東京ヤクルトスワローズ,*,田中　充,3,0,0,0,0,0,0,0,0,0,15,2,0.2,7,3,0,0,0,0,0,0,4,4,13.5
2005,東京ヤクルトスワローズ,,花田　真人,40,0,1,0,3,3,0,0,0,0,197,49,0.2,45,7,9,0,2,30,0,0,21,21,3.81
2005,東京ヤクルトスワローズ,*,藤井　秀悟,28,10,12,0,0,1,0,0,0,0.455,740,176,,156,24,64,2,2,143,5,0,70,67,3.43
2005,東京ヤクルトスワローズ,,本間　忠,11,0,0,0,1,1,0,0,0,0,69,18,0.2,10,2,3,0,0,17,0,0,6,4,1.93
2005,東京ヤクルトスワローズ,,松岡　健一,4,1,2,0,0,0,0,0,0,0.333,92,23,0.2,22,4,3,0,0,12,1,0,10,10,3.8
2005,東京ヤクルトスワローズ,*,丸山　貴史,2,0,0,0,0,0,0,0,0,0,25,6,0.1,4,2,0,0,2,6,0,0,4,4,5.68
2005,東京ヤクルトスワローズ,,三澤　興一,2,0,0,0,0,0,0,0,0,0,14,2,,8,1,0,0,0,1,0,0,6,6,27
2005,東京ヤクルトスワローズ,*,山部　太,40,0,2,0,5,5,0,0,0,0,102,21,,25,1,12,0,2,21,1,0,15,15,6.43
2005,東京ヤクルトスワローズ,*,山本　樹,9,1,0,0,4,5,0,0,0,1,62,14,0.1,16,2,5,0,1,4,0,0,10,10,6.28
2005,東京ヤクルトスワローズ,,吉川　昌宏,61,3,3,0,20,23,0,0,0,0.5,245,58,,50,6,20,2,5,32,1,1,25,24,3.72
2005,福岡ソフトバンクホークス,,新垣　渚,22,10,6,0,0,1,3,2,0,0.625,600,136,0.2,146,13,54,1,9,130,7,1,73,70,4.61
2005,福岡ソフトバンクホークス,,岡本　劼能,14,1,0,0,5,6,0,0,0,1,63,15,,15,2,2,0,0,16,0,0,9,8,4.8
2005,福岡ソフトバンクホークス,*,神内　靖,46,3,1,0,14,17,0,0,0,0.75,226,49,0.2,46,3,25,0,7,48,3,1,19,18,3.26
2005,福岡ソフトバンクホークス,,倉野　信次,15,1,1,0,2,2,0,0,0,0.5,136,30,0.1,39,4,7,0,2,11,0,0,23,21,6.23
2005,福岡ソフトバンクホークス,,斉藤　和巳,22,16,1,0,0,0,4,1,1,0.941,636,157,,135,14,41,0,10,129,5,0,54,51,2.92
