年度,チーム,,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率
2011,北海道日本ハムファイターズ,,多田野　数人,19,0,0,0,1,1,0,0,0,0,139,34,0.1,35,4,6,0,3,17,0,1,12,12,3.15
2011,北海道日本ハムファイターズ,,谷元　圭介,47,1,2,0,5,6,0,0,0,0.333,199,47,0.1,51,4,16,1,1,45,2,0,13,13,2.47
2011,北海道日本ハムファイターズ,,中村　勝,2,0,1,0,0,0,0,0,0,0,47,11,,10,1,4,0,0,7,0,1,3,3,2.45
2011,北海道日本ハムファイターズ,*,根本　朋久,2,0,0,0,0,0,0,0,0,0,9,2,,2,0,2,0,0,1,0,0,2,2,9
2011,北海道日本ハムファイターズ,*,林　昌範,5,0,0,0,2,2,0,0,0,0,22,4,,10,0,3,0,0,2,0,0,6,6,13.5
2011,北海道日本ハムファイターズ,,増井　浩俊,56,0,4,0,34,34,0,0,0,0,216,53,0.2,38,2,19,1,0,58,3,1,11,11,1.84
2011,北海道日本ハムファイターズ,*,宮西　尚生,61,1,2,0,14,15,0,0,0,0.333,218,53,,38,3,14,2,8,56,2,0,15,13,2.21
2011,北海道日本ハムファイターズ,*,八木　智哉,3,1,1,0,0,0,0,0,0,0.5,68,15,,17,0,4,0,2,4,2,0,7,7,4.2
2011,北海道日本ハムファイターズ,,矢貫　俊之,1,0,1,0,0,0,0,0,0,0,21,5,,3,0,4,0,0,4,1,0,1,1,1.8
2011,北海道日本ハムファイターズ,*,吉川　光夫,7,0,5,0,0,0,0,0,0,0,175,38,,45,4,20,1,1,25,1,0,20,20,4.74
2011,埼玉西武ライオンズ,*,石井　一久,23,6,9,0,1,1,0,0,0,0.4,507,117,,122,7,32,0,10,94,1,0,61,56,4.31
2011,埼玉西武ライオンズ,,岩崎　哲也,2,0,0,0,0,0,0,0,0,0,12,2,0.1,5,0,1,0,1,0,0,0,1,1,3.86
2011,埼玉西武ライオンズ,*,江草　仁貴,12,0,1,0,3,3,0,0,0,0,41,8,,7,0,9,1,0,6,0,0,8,5,5.63
2011,埼玉西武ライオンズ,,岡本　篤志,49,5,1,7,11,16,0,0,0,0.833,226,55,0.1,41,1,27,0,3,40,3,0,15,13,2.11
2011,埼玉西武ライオンズ,,長田　秀一郎,17,0,1,0,0,0,0,0,0,0,80,15,0.2,23,1,8,1,2,16,0,1,7,7,4.02
2011,埼玉西武ライオンズ,*,菊池　雄星,10,4,1,0,0,0,2,0,0,0.8,231,54,0.1,63,6,8,0,3,24,1,0,26,25,4.14
2011,埼玉西武ライオンズ,,岸　孝之,21,8,9,0,0,0,3,0,1,0.471,564,135,,131,12,39,1,3,106,1,0,65,57,3.8
2011,埼玉西武ライオンズ,,木村　文紀,21,1,0,0,1,2,0,0,0,1,106,25,,27,2,6,0,3,17,2,0,11,8,2.88
2011,埼玉西武ライオンズ,*,グラマン,29,2,1,1,5,7,0,0,0,0.667,112,25,0.1,27,0,12,1,1,13,2,0,12,12,4.26
2011,埼玉西武ライオンズ,,坂元　弥太郎,16,0,0,0,1,1,0,0,0,0,98,22,,24,3,9,0,0,12,0,1,11,6,2.45
2011,埼玉西武ライオンズ,,シコースキー,4,0,1,0,0,0,0,0,0,0,17,3,0.2,4,1,2,2,0,3,0,0,2,2,4.91
2011,埼玉西武ライオンズ,*,武隈　祥太,2,0,0,0,0,0,0,0,0,0,7,2,,1,0,0,0,0,1,0,0,0,0,0
2011,埼玉西武ライオンズ,,西口　文也,22,11,7,0,0,0,2,1,0,0.611,566,140,,104,5,41,1,8,104,2,1,44,40,2.57
2011,埼玉西武ライオンズ,,野上　亮磨,4,0,1,0,0,0,0,0,0,0,20,4,0.1,8,2,0,0,0,3,0,0,5,5,10.38
2011,埼玉西武ライオンズ,,平野　将光,23,1,6,0,1,2,1,0,0,0.143,282,64,,72,10,22,1,2,36,5,0,41,32,4.5
2011,埼玉西武ライオンズ,,藤田　太陽,14,0,2,0,0,0,0,0,0,0,71,15,0.1,19,4,3,0,2,13,0,0,10,10,5.87
2011,埼玉西武ライオンズ,,藤原　良平,5,0,0,0,0,0,0,0,0,0,35,7,0.2,8,0,2,0,4,5,1,0,3,3,3.52
2011,埼玉西武ライオンズ,*,帆足　和幸,26,9,6,0,0,0,2,1,0,0.6,691,168,0.2,172,10,34,1,8,102,2,0,59,53,2.83
2011,埼玉西武ライオンズ,*,星野　智樹,37,0,0,0,9,9,0,0,0,0,88,20,0.1,21,0,9,0,0,20,1,0,7,6,2.66
2011,埼玉西武ライオンズ,,牧田　和久,55,5,7,22,1,4,2,1,0,0.417,510,127,0.2,105,5,16,1,9,86,0,1,39,37,2.61
2011,埼玉西武ライオンズ,*,松永　浩典,26,1,0,0,1,2,0,0,0,1,85,21,,17,1,3,0,3,11,1,0,7,3,1.29
2011,埼玉西武ライオンズ,,ミンチェ,49,6,2,1,22,27,1,1,0,0.75,259,68,0.1,48,2,10,1,4,40,4,0,17,15,1.98
2011,埼玉西武ライオンズ,,涌井　秀章,26,9,12,0,0,0,5,1,2,0.429,744,178,0.1,184,9,41,0,8,108,7,0,71,58,2.93
2011,横浜ベイスターズ,,阿斗里,3,0,1,0,0,0,0,0,0,0,24,6,0.1,4,0,2,0,0,1,0,0,2,2,2.84
2011,横浜ベイスターズ,,牛田　成樹,45,2,1,0,19,21,0,0,0,0.667,188,46,0.1,37,7,16,1,0,61,1,0,21,19,3.69
2011,横浜ベイスターズ,,江尻　慎太郎,65,2,2,0,22,24,0,0,0,0.5,226,56,0.2,47,6,11,1,3,38,2,0,14,13,2.06
2011,横浜ベイスターズ,,大家　友和,7,0,6,0,0,0,0,0,0,0,145,32,0.2,41,6,10,2,0,14,1,0,26,25,6.89
2011,横浜ベイスターズ,,大沼　幸二,14,0,0,0,1,1,0,0,0,0,59,11,0.2,13,3,10,1,0,9,1,0,13,11,8.49
2011,横浜ベイスターズ,*,大原　慎司,71,4,1,0,11,15,0,0,0,0.8,184,44,0.1,40,4,15,1,2,36,4,0,19,15,3.05
2011,横浜ベイスターズ,,加賀　繁,29,4,3,0,3,4,0,0,0,0.571,291,70,0.2,72,8,11,2,2,51,0,0,28,28,3.57
2011,横浜ベイスターズ,,加賀美　希昇,1,1,0,0,0,0,0,0,0,1,23,6,,4,0,0,0,0,6,0,1,1,1,1.5
2011,横浜ベイスターズ,,国吉　佑樹,8,1,4,0,0,0,0,0,0,0.2,198,47,,42,2,20,1,2,39,1,0,13,12,2.3
2011,横浜ベイスターズ,*,ゴンザレス,2,1,1,0,0,0,0,0,0,0.5,36,7,,16,0,1,0,0,4,0,0,10,10,12.86
2011,横浜ベイスターズ,,小杉　陽太,5,0,1,0,0,0,0,0,0,0,34,9,,7,1,2,0,0,7,0,0,4,4,4
2011,横浜ベイスターズ,,小林　寛,6,0,2,0,0,0,0,0,0,0,88,19,0.1,21,2,9,0,0,9,0,0,12,11,5.12
2011,横浜ベイスターズ,,小林　太志,17,4,3,0,0,0,0,0,0,0.571,268,62,0.1,61,5,19,0,3,40,0,0,25,24,3.47
2011,横浜ベイスターズ,*,佐藤　祥万,10,0,0,0,3,3,0,0,0,0,18,4,,4,0,3,0,0,4,0,0,2,2,4.5
2011,横浜ベイスターズ,,真田　裕貴,53,2,0,0,3,5,0,0,0,1,214,49,,66,4,8,1,4,18,0,0,25,23,4.22
2011,横浜ベイスターズ,*,篠原　貴行,67,1,0,0,17,18,0,0,0,1,175,44,,37,2,12,0,1,35,0,0,10,9,1.84
2011,横浜ベイスターズ,,清水　直行,7,2,4,0,0,0,0,0,0,0.333,172,37,,47,4,14,0,1,20,1,0,23,19,4.62
2011,横浜ベイスターズ,,須田　幸太,17,2,6,0,0,0,0,0,0,0.25,373,85,,93,16,32,0,3,52,4,0,52,50,5.29
2011,横浜ベイスターズ,,高崎　健太郎,29,5,15,0,0,0,0,0,0,0.25,739,177,0.1,182,9,36,0,2,127,3,0,71,68,3.45
2011,横浜ベイスターズ,*,田中　健二朗,1,0,0,0,0,0,0,0,0,0,16,3,,6,1,0,0,0,1,0,0,4,2,6
2011,横浜ベイスターズ,,ハミルトン,18,1,4,0,0,0,0,0,0,0.2,163,36,0.1,48,4,11,1,4,17,1,1,29,29,7.18
2011,横浜ベイスターズ,*,ブランドン,12,1,1,0,1,1,0,0,0,0.5,98,23,0.1,19,1,8,0,3,17,0,0,3,3,1.16
2011,横浜ベイスターズ,,福山　博之,19,0,1,0,0,0,0,0,0,0,113,25,,27,1,5,0,1,10,1,1,20,16,5.76
2011,横浜ベイスターズ,,藤江　均,47,3,0,0,15,18,0,0,0,1,181,45,0.2,33,2,12,2,3,41,2,0,8,8,1.58
2011,横浜ベイスターズ,*,眞下　貴之,5,1,0,0,0,0,0,0,0,1,72,15,0.2,16,2,13,0,0,9,0,0,8,6,3.45
2011,横浜ベイスターズ,,三浦　大輔,18,5,6,0,0,0,2,1,0,0.455,463,111,0.1,96,9,31,2,7,74,1,0,39,36,2.91
2011,横浜ベイスターズ,,山口　俊,59,2,6,34,1,3,0,0,0,0.25,253,61,0.1,46,5,19,1,4,48,3,0,20,17,2.49
2011,横浜ベイスターズ,*,山本　省吾,21,2,11,0,0,0,0,0,0,0.154,362,79,,99,10,25,0,4,50,0,2,57,52,5.92
2011,横浜ベイスターズ,*,リーチ,8,1,7,0,0,0,0,0,0,0.125,181,39,0.1,47,3,21,0,0,36,4,2,28,26,5.95
2011,オリックスバファローズ,*,阿南　徹,5,0,0,0,0,0,0,0,0,0,36,9,,8,1,1,0,0,8,1,0,4,4,4
2011,オリックスバファローズ,*,伊原　正樹,2,0,0,0,0,0,0,0,0,0,14,2,0.2,4,0,1,0,1,1,0,0,0,0,0
2011,オリックスバファローズ,,梶本　達哉,1,0,0,0,0,0,0,0,0,0,9,1,0.1,3,0,2,0,0,1,2,0,3,3,20.25
2011,オリックスバファローズ,,香月　良太,46,1,2,0,16,17,0,0,0,0.333,141,34,,31,0,6,0,3,15,0,0,9,8,2.12
2011,オリックスバファローズ,,金子　千尋,20,10,4,0,0,0,5,2,3,0.714,613,155,0.1,126,9,38,2,2,123,3,0,45,42,2.43
2011,オリックスバファローズ,,鴨志田　貴司,18,0,0,0,1,1,0,0,0,0,64,15,0.1,9,0,8,0,3,15,3,0,3,3,1.76
2011,オリックスバファローズ,,木佐貫　洋,19,2,7,0,0,0,0,0,0,0.222,322,72,0.1,86,5,22,1,2,60,4,0,42,37,4.6
2011,オリックスバファローズ,,岸田　護,68,5,6,33,0,5,0,0,0,0.455,289,69,,66,5,15,3,1,74,2,0,23,20,2.61
2011,オリックスバファローズ,,桑原　謙太朗,10,0,0,0,0,0,0,0,0,0,78,18,,16,3,8,0,3,18,1,0,7,7,3.5
2011,オリックスバファローズ,,小林　雅英,6,0,0,0,0,0,0,0,0,0,27,4,0.2,10,2,5,0,0,0,0,0,7,7,13.5
2011,オリックスバファローズ,,小松　聖,1,0,0,0,0,0,0,0,0,0,6,0,0.1,5,1,0,0,0,0,0,0,5,5,135
2011,オリックスバファローズ,,近藤　一樹,15,3,7,0,1,1,0,0,0,0.3,289,63,0.2,76,6,27,0,4,53,3,0,48,45,6.36
2011,オリックスバファローズ,*,高宮　和也,20,0,0,0,1,1,0,0,0,0,96,22,0.2,22,0,6,0,4,21,0,0,10,10,3.97
2011,オリックスバファローズ,,寺原　隼人,25,12,10,0,0,0,7,3,1,0.545,705,170,0.1,162,4,43,0,3,112,7,2,67,58,3.06
2011,オリックスバファローズ,*,中山　慎也,28,8,9,1,0,0,2,0,0,0.471,660,156,0.1,128,11,69,0,5,119,3,0,58,51,2.94
2011,オリックスバファローズ,,西　勇輝,25,10,7,1,0,1,1,0,1,0.588,537,130,0.2,109,8,26,0,16,106,1,0,49,44,3.03
2011,オリックスバファローズ,,西川　雅人,3,0,0,0,0,0,0,0,0,0,18,3,,7,0,2,0,1,4,0,0,4,4,12
2011,オリックスバファローズ,,朴　贊浩,7,1,5,0,0,0,1,0,1,0.167,181,42,,44,3,12,1,3,21,0,1,21,20,4.29
2011,オリックスバファローズ,,比嘉　幹貴,23,0,0,0,3,3,0,0,0,0,105,22,0.2,28,3,6,0,2,21,0,1,21,18,7.15
2011,オリックスバファローズ,,平野　佳寿,72,6,2,2,43,49,0,0,0,0.75,317,83,0.2,48,4,17,2,2,99,5,0,18,18,1.94
2011,オリックスバファローズ,,フィガロ,24,8,6,0,0,1,0,0,0,0.571,524,123,0.2,126,7,36,0,3,90,8,5,49,47,3.42
2011,オリックスバファローズ,*,古川　秀一,12,0,0,0,1,1,0,0,0,0,64,16,,13,1,6,0,1,9,0,0,3,3,1.69
2011,オリックスバファローズ,*,マクレーン,7,3,3,0,0,0,0,0,0,0.5,135,30,,34,2,10,0,2,22,1,0,17,15,4.5
2011,オリックスバファローズ,*,吉野　誠,50,0,0,0,12,12,0,0,0,0,126,30,0.1,33,0,3,0,0,26,0,1,5,4,1.19
2012,読売ジャイアンツ,,一岡　竜司,4,0,0,0,0,0,0,0,0,0,21,5,,5,0,0,0,1,3,0,0,3,2,3.6
2012,読売ジャイアンツ,*,内海　哲也,28,15,6,0,0,0,3,2,0,0.714,757,186,,173,8,40,1,9,121,8,0,47,41,1.98
2012,読売ジャイアンツ,,江柄子　裕樹,7,0,2,0,0,0,0,0,0,0,65,14,0.2,12,2,7,0,1,14,0,0,7,4,2.45
2012,読売ジャイアンツ,,越智　大祐,5,0,1,0,0,0,0,0,0,0,24,4,,9,2,4,1,0,0,0,0,5,5,11.25
2012,読売ジャイアンツ,,小野　淳平,9,0,1,0,0,0,0,0,0,0,48,11,,10,3,3,0,2,5,0,0,7,7,5.73
2012,読売ジャイアンツ,,笠原　将生,4,1,0,0,0,0,0,0,0,1,64,13,,18,1,5,0,1,14,1,0,8,8,5.54
2012,読売ジャイアンツ,,久保　裕也,2,0,0,0,0,0,0,0,0,0,8,1,,2,0,2,0,1,1,0,0,3,1,9
2012,読売ジャイアンツ,,ゴンザレス,11,4,1,0,0,0,0,0,0,0.8,206,45,,57,2,22,0,2,26,0,0,18,16,3.2
2012,読売ジャイアンツ,,小山　雄輝,10,2,2,0,1,1,0,0,0,0.5,168,43,0.1,29,1,11,0,0,28,3,0,11,9,1.87
2012,読売ジャイアンツ,,真田　裕貴,1,0,0,0,0,0,0,0,0,0,4,+,,4,0,0,0,0,0,0,0,3,3,----
2012,読売ジャイアンツ,,澤村　拓一,27,10,10,0,0,0,2,1,0,0.5,716,169,0.2,172,12,54,0,4,138,2,0,56,54,2.86
2012,読売ジャイアンツ,*,杉内　俊哉,24,12,4,0,0,0,3,2,1,0.75,634,163,,116,6,43,0,3,172,9,0,42,37,2.04
2012,読売ジャイアンツ,*,高木　京介,34,2,0,1,10,12,0,0,0,1,121,31,0.1,16,0,10,0,1,28,1,0,2,2,0.57
2012,読売ジャイアンツ,*,高木　康成,40,3,1,0,6,9,0,0,0,0.75,169,43,0.2,34,0,8,1,0,25,3,0,9,7,1.44
2012,読売ジャイアンツ,,田原　誠次,32,2,0,0,7,9,0,0,0,1,130,30,0.1,30,3,8,0,4,23,0,0,11,11,3.26
2012,読売ジャイアンツ,,東野　峻,1,0,0,0,0,0,0,0,0,0,18,5,,3,1,0,0,1,2,0,0,2,2,3.6
2012,読売ジャイアンツ,,西村　健太朗,69,3,2,32,12,15,0,0,0,0.6,276,71,0.1,41,3,22,5,2,58,1,0,15,9,1.14
2012,読売ジャイアンツ,,野間口　貴彦,3,0,0,0,0,0,0,0,0,0,11,3,,2,0,1,0,0,2,0,0,0,0,0
2012,読売ジャイアンツ,,福田　聡志,50,8,1,0,17,25,0,0,0,0.889,236,61,0.2,32,2,26,0,0,51,2,0,11,11,1.61
2012,読売ジャイアンツ,,ホールトン,25,12,8,0,0,0,0,0,0,0.6,630,158,,116,11,44,1,8,132,0,0,46,43,2.45
2012,読売ジャイアンツ,*,星野　真澄,6,1,0,0,1,2,0,0,0,1,41,10,0.1,9,1,1,0,1,7,0,0,4,4,3.48
2012,読売ジャイアンツ,,マシソン,40,2,0,10,8,10,0,0,0,1,165,42,,30,1,11,0,1,48,2,0,9,8,1.71
2012,読売ジャイアンツ,,宮國　椋丞,17,6,2,0,0,0,1,1,0,0.75,386,97,,76,4,28,1,3,54,3,1,27,20,1.86
2012,読売ジャイアンツ,*,山口　鉄也,72,3,2,5,44,47,0,0,0,0.6,277,75,0.1,47,1,7,2,3,68,2,0,7,7,0.84
2012,読売ジャイアンツ,,ロメロ,1,0,0,0,0,0,0,0,0,0,5,1,,0,0,1,0,0,1,0,0,1,0,0
2012,阪神タイガース,,秋山　拓巳,2,1,1,0,0,0,0,0,0,0.5,39,8,,15,3,2,1,0,6,0,0,8,8,9
2012,阪神タイガース,,安藤　優也,13,3,7,0,0,0,0,0,0,0.3,310,73,0.1,78,6,15,0,1,42,2,1,36,33,4.05
2012,阪神タイガース,,伊藤　和雄,1,0,1,0,0,0,0,0,0,0,22,4,,7,0,3,0,0,2,0,0,4,3,6.75
2012,阪神タイガース,*,岩田　稔,25,8,14,0,0,0,0,0,0,0.364,648,153,0.1,157,10,41,3,2,107,6,0,73,60,3.52
2012,阪神タイガース,,岩本　輝,3,2,1,0,0,0,0,0,0,0.667,76,18,0.2,11,0,11,0,1,11,2,0,1,0,0
2012,阪神タイガース,*,榎田　大樹,48,3,3,2,21,24,0,0,0,0.5,188,42,0.1,36,2,20,3,8,37,2,0,13,11,2.34
2012,阪神タイガース,*,加藤　康介,41,0,0,0,7,7,0,0,0,0,120,32,0.2,15,1,11,0,1,34,0,0,4,3,0.83
2012,阪神タイガース,,久保　康友,18,4,7,0,0,0,1,0,0,0.364,442,108,,99,7,25,0,5,65,2,0,31,28,2.33
2012,阪神タイガース,,久保田　智之,4,0,0,0,0,0,0,0,0,0,13,3,,3,0,1,0,0,2,0,0,2,2,6
2012,阪神タイガース,*,小嶋　達也,4,0,0,0,0,0,0,0,0,0,28,5,0.1,6,0,4,0,3,8,1,0,2,2,3.38
2012,阪神タイガース,*,ザラテ,2,0,0,0,0,0,0,0,0,0,12,2,,4,0,1,0,0,2,0,2,3,2,9
2012,阪神タイガース,,歳内　宏明,1,0,0,0,0,0,0,0,0,0,21,5,,4,0,2,0,0,3,2,0,1,1,1.8
2012,阪神タイガース,,鄭　凱文,10,0,0,0,1,1,0,0,0,0,48,11,,10,1,4,0,0,6,0,0,3,3,2.45
2012,阪神タイガース,,白仁田　寛和,2,0,0,0,0,0,0,0,0,0,10,2,0.2,3,0,0,0,0,0,0,0,1,1,3.38
2012,阪神タイガース,,スタンリッジ,25,7,12,0,0,0,1,0,0,0.368,619,150,0.1,134,8,45,2,11,102,4,0,50,45,2.69
2012,阪神タイガース,*,筒井　和也,58,2,1,2,18,20,0,0,0,0.667,209,50,,45,3,19,3,3,46,1,0,19,18,3.24
2012,阪神タイガース,,鶴　直人,43,1,0,0,5,6,0,0,0,1,223,57,,40,3,16,1,1,30,0,0,13,12,1.89
2012,阪神タイガース,*,能見　篤史,29,10,10,0,0,0,3,2,1,0.5,737,182,,157,14,37,2,3,172,5,0,61,49,2.42
2012,阪神タイガース,,福原　忍,60,2,4,1,18,20,0,0,0,0.333,216,51,,48,2,12,1,4,43,3,0,13,10,1.76
2012,阪神タイガース,,藤川　球児,48,2,2,24,2,4,0,0,0,0.5,189,47,0.2,34,1,15,2,1,58,2,0,7,7,1.32
2012,阪神タイガース,*,藤原　正典,5,0,0,0,0,0,0,0,0,0,19,3,0.2,6,0,2,0,0,3,0,0,3,3,7.36
2012,阪神タイガース,,二神　一人,4,0,1,0,0,0,0,0,0,0,49,12,0.1,14,2,2,0,0,7,0,0,7,6,4.38
2012,阪神タイガース,,メッセンジャー,30,10,11,0,0,1,3,2,0,0.476,801,196,0.2,165,7,65,5,4,166,5,0,65,55,2.52
2012,阪神タイガース,,渡辺　亮,50,0,0,0,4,4,0,0,0,0,239,52,0.1,50,3,31,0,2,33,1,0,18,12,2.06
2012,広島東洋カープ,,今井　啓介,24,4,8,1,1,1,1,1,0,0.333,405,96,,86,8,34,0,1,70,3,0,35,30,2.81
2012,広島東洋カープ,,今村　猛,69,2,2,4,26,28,0,0,0,0.5,344,85,0.2,73,4,18,2,4,89,0,0,21,18,1.89
2012,広島東洋カープ,,梅津　智弘,9,0,0,0,1,1,0,0,0,0,38,6,0.2,11,0,4,0,3,5,1,0,5,3,4.05
2012,広島東洋カープ,*,江草　仁貴,26,0,0,0,5,5,0,0,0,0,86,20,0.1,17,2,9,0,0,15,0,1,11,10,4.43
2012,広島東洋カープ,*,大島　崇行,1,0,0,0,0,0,0,0,0,0,2,0,0.1,0,0,1,0,0,0,0,0,0,0,0
2012,広島東洋カープ,,大竹　寛,24,11,5,0,0,0,0,0,0,0.688,618,144,0.2,144,6,43,1,5,85,3,0,44,38,2.36
2012,広島東洋カープ,*,河内　貴哉,28,1,0,0,3,4,0,0,0,1,73,17,0.1,12,2,8,0,0,13,0,0,6,4,2.08
2012,広島東洋カープ,*,菊地原　毅,14,0,1,0,3,3,0,0,0,0,37,7,0.2,7,0,4,0,1,3,1,0,4,4,4.7
2012,広島東洋カープ,,岸本　秀樹,27,0,2,0,3,3,0,0,0,0,114,24,,24,1,17,2,0,27,2,0,20,18,6.75
2012,広島東洋カープ,,サファテ,47,2,5,9,4,6,0,0,0,0.286,221,49,0.2,43,1,24,0,6,44,3,0,24,16,2.9
2012,広島東洋カープ,*,齊藤　悠葵,6,2,3,0,0,0,0,0,0,0.4,123,27,0.2,24,2,16,0,1,13,1,0,17,16,5.2
2012,広島東洋カープ,*,篠田　純平,7,1,3,0,0,0,0,0,0,0.25,127,27,0.2,39,4,11,1,1,12,2,0,15,15,4.88
2012,広島東洋カープ,*,戸田　隆矢,1,0,1,0,0,0,0,0,0,0,15,3,,4,0,2,0,0,0,0,0,2,2,6
2012,広島東洋カープ,,中崎　翔太,12,0,1,0,1,1,0,0,0,0,84,21,,15,1,8,0,1,14,1,0,7,6,2.57
2012,広島東洋カープ,,中田　廉,27,1,0,0,3,4,0,0,0,1,151,34,0.2,38,3,12,0,1,26,2,0,15,15,3.89
2012,広島東洋カープ,*,中村　恭平,8,0,0,0,0,0,0,0,0,0,56,13,,10,0,8,0,1,6,2,0,8,7,4.85
2012,広島東洋カープ,,野村　祐輔,27,9,11,0,0,0,0,0,0,0.45,704,172,0.2,143,6,52,0,2,103,3,2,46,38,1.98
2012,広島東洋カープ,,バリントン,29,7,14,0,0,0,0,0,0,0.333,733,175,0.2,166,8,44,4,5,137,2,0,79,63,3.23
2012,広島東洋カープ,,福井　優也,17,2,3,0,0,0,0,0,0,0.4,264,58,0.2,52,6,37,0,1,53,2,1,28,28,4.3
2012,広島東洋カープ,,前田　健太,29,14,7,0,0,0,5,2,0,0.667,820,206,0.1,161,6,44,1,9,171,2,0,46,35,1.53
2012,広島東洋カープ,,ミコライオ,61,3,5,21,15,18,0,0,0,0.375,227,58,,42,4,14,0,3,54,0,0,19,18,2.79
2012,広島東洋カープ,,横山　竜士,23,2,0,0,5,7,0,0,0,1,86,21,0.2,11,0,9,2,3,15,0,0,2,1,0.42
2012,中日ドラゴンズ,,浅尾　拓也,29,1,0,1,15,16,0,0,0,1,120,30,,21,0,9,0,0,29,2,0,6,5,1.5
2012,中日ドラゴンズ,,朝倉　健太,16,0,0,0,0,0,0,0,0,0,93,21,0.1,26,3,6,0,1,13,2,0,18,18,7.59
2012,中日ドラゴンズ,,伊藤　準規,2,1,0,0,0,0,0,0,0,1,35,9,0.2,3,0,5,0,0,3,1,1,1,1,0.93
2012,中日ドラゴンズ,*,岩瀬　仁紀,54,1,3,33,6,7,0,0,0,0.25,207,51,,44,3,13,3,2,30,0,0,15,13,2.29
2012,中日ドラゴンズ,,岩田　慎司,20,5,5,0,0,0,0,0,0,0.5,438,108,0.1,87,11,26,0,7,84,1,0,36,33,2.74
2012,中日ドラゴンズ,*,大野　雄大,9,4,3,0,1,1,0,0,0,0.571,188,44,0.2,40,1,14,1,3,41,3,0,15,13,2.62
2012,中日ドラゴンズ,*,小笠原　孝,7,0,2,0,1,1,0,0,0,0,85,18,0.2,24,1,4,0,2,14,0,0,13,11,5.3
2012,中日ドラゴンズ,*,小川　龍也,1,0,1,0,0,0,0,0,0,0,17,4,,4,1,1,0,0,3,1,0,2,2,4.5
2012,中日ドラゴンズ,,小熊　凌祐,1,0,0,0,0,0,0,0,0,0,12,2,,2,0,4,0,0,1,0,0,3,3,13.5
2012,中日ドラゴンズ,,川上　憲伸,7,3,1,0,0,0,0,0,0,0.75,121,28,0.2,25,3,10,0,2,17,0,0,10,9,2.83
2012,中日ドラゴンズ,*,小林正,41,2,0,0,14,16,0,0,0,1,89,20,0.2,16,1,5,1,3,17,0,0,3,3,1.31
2012,中日ドラゴンズ,,鈴木　義広,9,0,0,0,0,0,0,0,0,0,37,8,,8,0,5,1,0,4,0,0,5,5,5.63
2012,中日ドラゴンズ,,ソーサ,53,5,1,4,21,26,0,0,0,0.833,260,63,0.1,54,1,19,4,1,50,1,0,17,13,1.85
2012,中日ドラゴンズ,*,ソト,18,4,1,0,3,3,0,0,0,0.8,246,62,0.1,45,3,21,1,1,48,0,0,16,15,2.17
2012,中日ドラゴンズ,*,高橋　聡文,11,0,0,0,0,0,0,0,0,0,49,11,,11,2,6,0,2,7,0,0,8,8,6.55
2012,中日ドラゴンズ,,田島　慎二,56,5,3,0,30,35,0,0,0,0.625,274,70,0.2,50,1,17,0,3,56,2,0,10,9,1.15
2012,中日ドラゴンズ,,中田　賢一,22,7,10,0,0,0,2,0,1,0.412,562,140,,119,6,33,2,9,106,3,0,46,44,2.83
2012,中日ドラゴンズ,,西川　健太郎,3,0,0,0,0,0,0,0,0,0,24,7,,1,1,2,0,0,4,0,0,1,1,1.29
2012,中日ドラゴンズ,,ネルソン,6,0,1,0,1,1,0,0,0,0,54,11,0.1,14,1,7,0,0,8,0,0,10,9,7.15
2012,中日ドラゴンズ,*,久本　祐一,5,0,0,0,0,0,0,0,0,0,38,8,,8,1,5,1,1,6,0,0,4,4,4.5
2012,中日ドラゴンズ,,平井　正史,2,0,1,0,1,1,0,0,0,0,14,2,0.1,5,0,1,0,1,3,0,0,3,3,11.57
2012,中日ドラゴンズ,*,三瀬　幸司,2,0,0,0,1,1,0,0,0,0,12,3,,3,0,0,0,0,5,0,0,0,0,0
2012,中日ドラゴンズ,,武藤　祐太,33,4,0,0,3,7,0,0,0,1,167,41,0.2,33,1,10,2,1,31,2,1,15,14,3.02
2012,中日ドラゴンズ,,矢地　健人,5,0,0,0,0,0,0,0,0,0,33,8,0.1,5,1,2,0,0,7,0,0,3,2,2.16
2012,中日ドラゴンズ,,山井　大介,56,4,3,15,13,16,0,0,0,0.571,385,101,,71,3,23,1,2,80,3,0,20,16,1.43
2012,中日ドラゴンズ,,山内　壮馬,24,10,7,0,0,0,0,0,0,0.588,589,148,,128,8,32,1,4,68,4,0,42,40,2.43
2012,中日ドラゴンズ,*,山本昌,13,3,2,0,0,1,0,0,0,0.6,264,67,0.1,52,4,19,2,2,40,2,0,22,22,2.94
2012,中日ドラゴンズ,*,雄太,14,3,5,0,0,0,0,0,0,0.375,231,54,0.1,58,3,12,0,1,26,0,0,33,26,4.31
2012,中日ドラゴンズ,,吉見　一起,19,13,4,0,0,0,6,2,3,0.765,529,138,0.2,121,5,13,0,0,76,1,0,28,27,1.75
2012,横浜DeNAベイスターズ,,阿斗里,2,0,0,0,0,0,0,0,0,0,14,2,,3,0,5,0,0,2,0,0,3,3,13.5
2012,横浜DeNAベイスターズ,,伊藤　拓郎,2,0,0,0,1,1,0,0,0,0,9,2,,1,0,2,0,0,2,0,0,0,0,0
