年度,チーム,選手名,選手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率
2005,読売ジャイアンツ,*,阿部　慎之助,130,534,476,56,143,16,0,26,237,86,0,2,0,6,51,4,1,78,15,0.3,0.498,0.365
2005,読売ジャイアンツ,,岩舘　学,14,20,18,2,2,0,0,0,2,1,0,0,0,0,2,0,0,8,1,0.111,0.111,0.2
2005,読売ジャイアンツ,,上原　浩治,27,60,52,1,4,0,0,0,4,0,0,0,8,0,0,0,0,12,1,0.077,0.077,0.077
2005,読売ジャイアンツ,*,内海　哲也,26,28,27,1,3,0,0,0,3,0,0,0,1,0,0,0,0,17,0,0.111,0.111,0.111
2005,読売ジャイアンツ,,江藤　智,81,111,93,7,16,4,0,0,20,4,0,0,0,2,16,0,0,25,3,0.172,0.215,0.288
2005,読売ジャイアンツ,*,岡島　秀樹,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,小田　幸平,31,66,62,4,13,2,0,0,15,5,0,1,3,0,0,0,1,17,1,0.21,0.242,0.222
2005,読売ジャイアンツ,*,亀井　義行,20,45,42,1,6,2,0,0,8,1,0,0,1,0,1,0,1,15,0,0.143,0.19,0.182
2005,読売ジャイアンツ,,鴨志田　貴司,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,*,川中　基嗣,55,101,93,12,26,3,0,5,44,14,1,0,0,0,6,1,2,10,1,0.28,0.473,0.337
2005,読売ジャイアンツ,,キャプラー,38,120,111,11,17,1,1,3,29,6,2,0,0,0,9,0,0,19,4,0.153,0.261,0.217
2005,読売ジャイアンツ,,木佐貫　洋,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,清原　和博,96,375,321,42,68,6,0,22,140,52,0,1,0,3,41,0,10,111,6,0.212,0.436,0.317
2005,読売ジャイアンツ,*,工藤　公康,24,42,41,2,3,1,0,0,4,0,0,0,1,0,0,0,0,21,3,0.073,0.098,0.073
2005,読売ジャイアンツ,,久保　裕也,64,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
2005,読売ジャイアンツ,,黒田　哲史,42,45,43,10,9,1,0,0,10,7,2,0,1,0,1,0,0,11,1,0.209,0.233,0.227
2005,読売ジャイアンツ,,桑田　真澄,12,16,15,0,1,0,0,0,1,1,0,0,0,1,0,0,0,8,0,0.067,0.067,0.063
2005,読売ジャイアンツ,,小久保　裕紀,142,592,524,77,147,25,0,34,274,87,1,1,0,1,62,0,5,114,11,0.281,0.523,0.361
2005,読売ジャイアンツ,*,後藤　孝志,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,後藤　光貴,5,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,*,斉藤　宜之,46,112,108,13,26,4,1,1,35,8,1,1,0,1,2,0,1,11,4,0.241,0.324,0.259
2005,読売ジャイアンツ,,酒井　順也,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,*,佐藤　宏志,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,真田　裕貴,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,シコースキー,70,3,3,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0.333,0.667,0.333
2005,読売ジャイアンツ,*,清水　隆行,127,531,490,76,147,24,3,15,222,50,4,3,5,3,32,1,1,44,5,0.3,0.453,0.342
2005,読売ジャイアンツ,,條辺　剛,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,*,鈴木　尚広,27,107,99,19,30,7,0,1,40,5,11,3,5,0,3,0,0,15,1,0.303,0.404,0.324
2005,読売ジャイアンツ,,十川　孝富,27,17,16,3,3,0,0,1,6,1,0,0,0,0,1,0,0,7,2,0.188,0.375,0.235
2005,読売ジャイアンツ,*,高橋　尚成,28,48,41,2,10,0,0,0,10,3,0,0,5,0,2,0,0,16,0,0.244,0.244,0.279
2005,読売ジャイアンツ,*,高橋　由伸,88,360,325,50,97,15,0,17,163,41,1,0,0,0,30,0,5,54,8,0.298,0.502,0.367
2005,読売ジャイアンツ,,伊達　昌司,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,*,長田　昌浩,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,読売ジャイアンツ,,中村　隼人,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,二岡　智宏,139,593,539,64,162,25,0,16,235,58,3,0,5,3,37,1,9,79,13,0.301,0.436,0.354
2005,読売ジャイアンツ,,仁志　敏久,128,522,484,50,130,13,0,11,176,45,5,7,7,3,27,1,1,70,11,0.269,0.364,0.307
2005,読売ジャイアンツ,,西村　健太朗,12,10,9,0,1,1,0,0,2,1,0,0,1,0,0,0,0,4,1,0.111,0.222,0.111
2005,読売ジャイアンツ,,西山　秀二,13,19,18,2,2,0,0,0,2,0,0,0,0,0,1,0,0,6,1,0.111,0.111,0.158
2005,読売ジャイアンツ,,野間口　貴彦,11,11,9,1,1,0,0,0,1,0,0,0,2,0,0,0,0,5,0,0.111,0.111,0.111
2005,読売ジャイアンツ,*,林　昌範,54,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0.667,0.667,0.667
2005,読売ジャイアンツ,,原　俊介,9,17,16,1,2,0,0,0,2,1,0,0,0,0,1,0,0,5,1,0.125,0.125,0.176
2005,読売ジャイアンツ,,星　孝典,2,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333
2005,読売ジャイアンツ,,堀田　一郎,71,74,64,11,16,1,0,0,17,6,2,1,2,1,2,0,5,17,0,0.25,0.266,0.319
2005,読売ジャイアンツ,,マレン,22,26,22,0,2,0,0,0,2,0,0,0,3,0,0,0,1,12,0,0.091,0.091,0.13
2005,読売ジャイアンツ,*,前田　幸長,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,ミアディッチ,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,ミセリ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,三浦　貴,19,26,23,3,5,1,0,0,6,1,0,0,0,0,1,0,2,8,0,0.217,0.261,0.308
2005,読売ジャイアンツ,,三木　均,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,読売ジャイアンツ,,村田　善則,32,107,98,5,24,5,0,0,29,7,0,0,1,1,6,0,1,19,8,0.245,0.296,0.292
2005,読売ジャイアンツ,,元木　大介,41,120,105,9,32,4,0,0,36,8,1,1,4,1,9,0,1,21,2,0.305,0.343,0.362
2005,読売ジャイアンツ,,矢野　謙次,85,228,203,27,57,7,1,7,87,14,2,1,11,1,9,0,4,30,5,0.281,0.429,0.323
2005,読売ジャイアンツ,,山田　真介,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
2005,読売ジャイアンツ,*,ローズ,101,445,379,54,91,9,0,27,181,70,2,0,0,7,55,1,4,125,12,0.24,0.478,0.337
2005,阪神タイガース,*,赤星　憲広,145,689,601,119,190,15,9,1,226,38,60,12,8,3,69,1,8,90,3,0.316,0.376,0.392
2005,阪神タイガース,,赤松　真人,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2005,阪神タイガース,,浅井　良,35,49,48,8,12,3,0,1,18,3,1,0,1,0,0,0,0,6,1,0.25,0.375,0.25
2005,阪神タイガース,,安藤　優也,24,47,43,2,5,1,0,0,6,3,0,0,3,0,1,0,0,22,0,0.116,0.14,0.136
2005,阪神タイガース,*,井川　慶,27,67,53,2,4,0,0,0,4,3,0,0,9,0,5,0,0,28,0,0.075,0.075,0.155
2005,阪神タイガース,,今岡　誠,146,630,559,71,156,26,2,29,273,147,1,1,0,9,57,2,5,88,21,0.279,0.488,0.346
2005,阪神タイガース,,ウィリアムス,75,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,阪神タイガース,*,江草　仁貴,51,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
2005,阪神タイガース,,沖原　佳典,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333
2005,阪神タイガース,*,片岡　篤史,50,73,57,8,12,1,0,1,16,7,0,0,0,1,15,0,0,17,0,0.211,0.281,0.37
2005,阪神タイガース,*,葛城　育郎,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,阪神タイガース,*,金本　知憲,146,662,559,120,183,35,3,40,344,125,3,1,0,2,98,4,3,86,6,0.327,0.615,0.429
2005,阪神タイガース,,狩野　恵輔,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,阪神タイガース,,上坂　太一郎,25,18,13,1,2,1,0,0,3,1,0,0,3,0,2,0,0,1,0,0.154,0.231,0.267
2005,阪神タイガース,*,喜田　剛,3,8,8,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0.25,0.25,0.25
2005,阪神タイガース,*,久慈　照嘉,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2005,阪神タイガース,,久保田　智之,68,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2005,阪神タイガース,*,佐久本　昌広,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,阪神タイガース,,桟原　将司,26,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
2005,阪神タイガース,,シーツ,137,614,560,98,162,38,1,19,259,85,1,2,1,4,46,2,3,145,15,0.289,0.463,0.344
2005,阪神タイガース,*,下柳　剛,24,43,36,1,4,0,0,0,4,1,0,0,7,0,0,0,0,18,2,0.111,0.111,0.111
2005,阪神タイガース,*,秀太,46,6,5,3,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0
2005,阪神タイガース,,スペンサー,108,313,276,27,67,16,0,9,110,33,0,1,0,2,34,0,1,70,8,0.243,0.399,0.326
2005,阪神タイガース,,杉山　直久,23,41,32,3,4,1,0,0,5,1,0,0,5,0,2,0,2,18,0,0.125,0.156,0.222
2005,阪神タイガース,,関本　健太郎,97,266,229,37,68,13,1,0,83,24,1,1,11,2,23,2,1,46,4,0.297,0.362,0.361
2005,阪神タイガース,,ダーウィン,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2005,阪神タイガース,,太陽,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2005,阪神タイガース,,筒井　和也,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
2005,阪神タイガース,*,鳥谷　敬,146,646,572,82,159,27,1,9,215,52,5,5,10,4,53,3,6,115,11,0.278,0.376,0.343
2005,阪神タイガース,*,中村　泰広,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,阪神タイガース,,中村　豊,49,31,30,10,13,0,0,1,16,4,0,1,0,0,1,0,0,3,1,0.433,0.533,0.452
2005,阪神タイガース,*,能見　篤史,16,20,18,0,0,0,0,0,0,1,0,0,2,0,0,0,0,7,0,0,0,0
2005,阪神タイガース,,野口　寿浩,18,32,31,2,5,2,0,0,7,1,0,0,0,0,1,0,0,11,0,0.161,0.226,0.188
2005,阪神タイガース,,橋本　健太郎,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,阪神タイガース,,濱中　おさむ,78,125,109,9,31,3,2,1,41,20,0,1,0,2,12,0,2,36,2,0.284,0.376,0.36
2005,阪神タイガース,*,桧山　進次郎,119,342,302,29,84,19,0,8,127,40,1,1,1,3,29,1,7,66,4,0.278,0.421,0.352
2005,阪神タイガース,,ブラウン,11,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2005,阪神タイガース,,福原　忍,28,45,37,1,2,0,0,0,2,2,0,0,5,0,3,0,0,18,5,0.054,0.054,0.125
2005,阪神タイガース,*,藤川　球児,80,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2005,阪神タイガース,*,藤本　敦士,119,400,357,36,89,14,2,1,110,36,3,1,7,2,33,5,1,40,7,0.249,0.308,0.313
2005,阪神タイガース,,藤原　通,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,阪神タイガース,*,前川　勝彦,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,阪神タイガース,,前田　忠節,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,阪神タイガース,,牧野　塁,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,阪神タイガース,,町田　公二郎,34,37,32,3,6,1,0,0,7,3,0,0,0,0,4,1,1,9,1,0.188,0.219,0.297
2005,阪神タイガース,,矢野　輝弘,138,550,499,53,135,26,0,19,218,71,1,1,9,2,32,1,8,113,12,0.271,0.437,0.323
2005,阪神タイガース,*,吉野　誠,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,阪神タイガース,*,林　威助,8,14,12,3,5,0,0,1,8,2,0,0,0,0,2,0,0,1,0,0.417,0.667,0.5
2005,中日ドラゴンズ,,アレックス,137,574,524,59,141,24,0,18,219,78,2,1,0,3,41,2,6,103,16,0.269,0.418,0.328
2005,中日ドラゴンズ,,朝倉　健太,16,29,26,0,1,1,0,0,2,2,0,0,2,1,0,0,0,17,0,0.038,0.077,0.037
2005,中日ドラゴンズ,,荒木　雅博,145,674,623,88,181,22,3,2,215,41,42,11,6,4,36,0,5,74,13,0.291,0.345,0.332
2005,中日ドラゴンズ,*,石井　裕也,24,4,4,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0.25,0.5,0.25
2005,中日ドラゴンズ,,石川　賢,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,中日ドラゴンズ,*,井上　一樹,107,263,245,30,74,14,1,10,120,38,3,1,0,4,13,0,1,40,4,0.302,0.49,0.335
2005,中日ドラゴンズ,,井端　弘和,146,659,560,87,181,22,5,6,231,63,22,8,19,2,72,3,6,77,11,0.323,0.413,0.405
2005,中日ドラゴンズ,*,岩瀬　仁紀,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,中日ドラゴンズ,,遠藤　政隆,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,中日ドラゴンズ,*,大友　進,18,30,27,2,5,0,0,0,5,1,0,0,0,0,3,0,0,6,0,0.185,0.185,0.267
2005,中日ドラゴンズ,,大西　崇之,49,73,65,7,16,3,1,0,21,12,0,0,3,0,4,0,1,14,1,0.246,0.323,0.3
2005,中日ドラゴンズ,*,小笠原　孝,5,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
2005,中日ドラゴンズ,,岡本　真也,57,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2005,中日ドラゴンズ,,落合　英二,31,8,6,0,2,0,0,0,2,0,0,0,2,0,0,0,0,3,0,0.333,0.333,0.333
2005,中日ドラゴンズ,*,鎌田　圭司,5,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2005,中日ドラゴンズ,*,川井　進,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2005,中日ドラゴンズ,,川相　昌弘,69,24,17,1,5,2,0,0,7,6,0,0,7,0,0,0,0,5,0,0.294,0.412,0.294
2005,中日ドラゴンズ,,川上　憲伸,25,56,49,1,2,0,0,1,5,2,0,0,3,0,4,0,0,22,2,0.041,0.102,0.113
2005,中日ドラゴンズ,,川岸　強,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,中日ドラゴンズ,*,小林　正人,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,中日ドラゴンズ,,小山　良男,5,10,10,0,2,1,0,0,3,1,0,0,0,0,0,0,0,3,0,0.2,0.3,0.2
2005,中日ドラゴンズ,,金剛　弘樹,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,中日ドラゴンズ,,佐藤　充,3,7,6,0,2,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0.333,0.333,0.333
2005,中日ドラゴンズ,+,澤井　道久,46,22,18,19,1,0,1,0,3,0,4,1,0,0,4,0,0,3,0,0.056,0.167,0.227
2005,中日ドラゴンズ,,鈴木　義広,47,9,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0
2005,中日ドラゴンズ,,タイロン・ウッズ,135,584,506,92,155,20,0,38,289,103,3,0,0,4,67,3,7,139,24,0.306,0.571,0.392
2005,中日ドラゴンズ,*,高橋　聡文,61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,中日ドラゴンズ,,高橋　光信,72,80,69,3,17,4,0,3,30,14,0,0,0,1,7,0,2,14,2,0.246,0.435,0.329
2005,中日ドラゴンズ,*,立浪　和義,138,580,501,57,127,25,1,9,181,56,2,0,0,6,68,1,5,76,15,0.253,0.361,0.345
2005,中日ドラゴンズ,,谷繁　元信,141,537,449,58,105,22,0,14,169,65,3,2,8,6,69,5,5,106,10,0.234,0.376,0.338
2005,中日ドラゴンズ,+,チェン,10,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.333,0.333,0.333
2005,中日ドラゴンズ,*,土谷　鉄平,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,中日ドラゴンズ,,ドミンゴ,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,中日ドラゴンズ,*,堂上　剛裕,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,中日ドラゴンズ,*,中里　篤史,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,中日ドラゴンズ,,中田　賢一,15,31,25,1,2,1,0,0,3,0,0,0,5,0,1,0,0,16,1,0.08,0.12,0.115
2005,中日ドラゴンズ,,中村　公治,20,32,29,4,4,0,1,0,6,3,0,1,0,0,3,0,0,8,0,0.138,0.207,0.219
2005,中日ドラゴンズ,*,野口　茂樹,13,23,22,1,1,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0.045,0.045,0.087
2005,中日ドラゴンズ,*,久本　祐一,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,中日ドラゴンズ,,英智,81,61,52,14,4,0,0,0,4,5,3,1,3,1,4,0,1,12,1,0.077,0.077,0.155
2005,中日ドラゴンズ,,平井　正史,55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2005,中日ドラゴンズ,*,福留　孝介,142,612,515,102,169,39,6,28,304,103,13,5,0,3,93,3,1,128,8,0.328,0.59,0.43
2005,中日ドラゴンズ,*,マルティネス,18,38,35,1,2,0,0,0,2,1,0,0,3,0,0,0,0,24,1,0.057,0.057,0.057
2005,中日ドラゴンズ,,前田　章宏,8,7,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0.143
2005,中日ドラゴンズ,,幕田　賢治,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,中日ドラゴンズ,*,森岡　良介,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,中日ドラゴンズ,*,森野　将彦,118,388,358,42,96,26,1,9,151,46,2,1,1,2,25,3,2,70,11,0.268,0.422,0.318
2005,中日ドラゴンズ,,柳沢　裕一,14,18,18,2,2,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0.111,0.111,0.111
2005,中日ドラゴンズ,,山井　大介,27,28,24,0,2,1,0,0,3,2,0,0,4,0,0,0,0,11,0,0.083,0.125,0.083
2005,中日ドラゴンズ,*,山本昌,22,36,23,0,0,0,0,0,0,0,0,0,10,0,3,0,0,14,1,0,0,0.115
2005,中日ドラゴンズ,,渡邉　博幸,104,88,81,7,22,4,0,1,29,10,1,0,2,0,4,0,1,19,1,0.272,0.358,0.314
2005,東京ヤクルトスワローズ,*,青木　宣親,144,649,588,100,202,26,4,3,245,28,29,7,18,1,37,0,5,113,5,0.344,0.417,0.387
2005,東京ヤクルトスワローズ,,五十嵐　亮太,49,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,*,石井　弘寿,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,*,石川　雅規,26,49,47,4,8,0,0,0,8,3,0,0,2,0,0,0,0,13,0,0.17,0.17,0.17
2005,東京ヤクルトスワローズ,*,石堂　克利,6,7,5,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0.2,0.2,0.333
2005,東京ヤクルトスワローズ,*,岩村　明憲,144,618,548,83,175,31,4,30,304,102,6,3,0,5,63,2,2,146,2,0.319,0.555,0.388
2005,東京ヤクルトスワローズ,,上原　厚治郎,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,,宇野　雅美,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,,小野　公誠,62,178,164,15,33,5,0,7,59,18,1,0,4,2,8,1,0,44,6,0.201,0.36,0.236
2005,東京ヤクルトスワローズ,,ガトームソン,16,30,27,1,4,1,0,1,8,3,0,0,2,0,0,0,1,13,1,0.148,0.296,0.179
2005,東京ヤクルトスワローズ,*,川島　亮,20,35,30,3,10,1,0,0,11,0,0,0,3,0,2,0,0,6,0,0.333,0.367,0.375
2005,東京ヤクルトスワローズ,,河端　龍,34,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2005,東京ヤクルトスワローズ,,ゴンザレス,27,22,19,4,5,3,0,0,8,4,0,0,2,0,0,0,1,4,0,0.263,0.421,0.3
2005,東京ヤクルトスワローズ,,坂元　弥太郎,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,,佐藤　真一,7,15,14,0,3,1,0,0,4,0,0,1,0,0,1,0,0,2,2,0.214,0.286,0.267
2005,東京ヤクルトスワローズ,*,佐藤　賢,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,東京ヤクルトスワローズ,,志田　宗大,26,27,25,7,3,0,0,0,3,3,1,0,1,0,0,0,1,7,1,0.12,0.12,0.154
2005,東京ヤクルトスワローズ,,城石　憲之,130,389,359,25,92,18,1,2,118,30,2,2,10,0,19,1,1,66,9,0.256,0.329,0.296
2005,東京ヤクルトスワローズ,,杉本　友,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,*,鈴木　健,81,305,274,25,69,12,0,6,99,32,0,1,0,3,25,1,3,42,12,0.252,0.361,0.318
2005,東京ヤクルトスワローズ,*,高井　雄平,18,18,13,1,2,0,0,1,5,2,0,0,4,0,1,0,0,9,1,0.154,0.385,0.214
2005,東京ヤクルトスワローズ,,館山　昌平,26,49,43,2,6,0,0,0,6,2,0,0,5,0,1,0,0,26,1,0.14,0.14,0.159
2005,東京ヤクルトスワローズ,*,田中　充,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,,田中　浩康,6,4,4,0,2,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0.5,0.75,0.5
2005,東京ヤクルトスワローズ,,土橋　勝征,101,276,247,19,64,11,0,3,84,14,0,1,5,1,20,2,3,29,9,0.259,0.34,0.321
2005,東京ヤクルトスワローズ,,畠山　和洋,11,13,11,1,2,0,0,1,5,2,0,0,0,0,2,0,0,5,0,0.182,0.455,0.308
2005,東京ヤクルトスワローズ,,花田　真人,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,東京ヤクルトスワローズ,,福川　将和,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,東京ヤクルトスワローズ,*,藤井　秀悟,30,50,47,1,6,0,0,0,6,2,0,0,2,0,1,0,0,17,0,0.128,0.128,0.146
2005,東京ヤクルトスワローズ,,古田　敦也,96,357,329,29,85,15,0,5,115,33,1,0,1,3,19,0,5,54,8,0.258,0.35,0.306
2005,東京ヤクルトスワローズ,*,本郷　宏樹,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2005,東京ヤクルトスワローズ,,本間　忠,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2005,東京ヤクルトスワローズ,,松岡　健一,4,8,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0
2005,東京ヤクルトスワローズ,*,松元　ユウイチ,75,151,137,10,33,6,0,2,45,13,0,0,2,1,8,0,3,23,2,0.241,0.328,0.295
2005,東京ヤクルトスワローズ,*,真中　満,99,244,225,20,68,12,0,5,95,28,2,1,3,1,15,2,0,29,11,0.302,0.422,0.344
2005,東京ヤクルトスワローズ,*,丸山　貴史,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2005,東京ヤクルトスワローズ,+,三木　肇,23,11,11,4,4,0,1,0,6,1,1,0,0,0,0,0,0,2,0,0.364,0.545,0.364
2005,東京ヤクルトスワローズ,,三澤　興一,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,,宮出　隆自,99,304,275,39,88,14,1,8,128,46,5,2,2,1,22,0,4,54,4,0.32,0.465,0.377
2005,東京ヤクルトスワローズ,,宮本　慎也,135,608,547,71,145,19,2,7,189,47,5,2,22,1,26,1,12,88,10,0.265,0.346,0.312
2005,東京ヤクルトスワローズ,*,山部　太,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,*,山本　樹,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,*,吉川　昌宏,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,東京ヤクルトスワローズ,,米野　智人,34,70,62,6,9,0,0,1,12,4,2,0,5,1,1,0,1,18,0,0.145,0.194,0.169
2005,東京ヤクルトスワローズ,,ラミレス,146,629,596,70,168,19,1,32,285,104,5,1,0,3,23,5,7,121,13,0.282,0.478,0.315
